Sample Name,Tc1-42,Tc1-42_1,Tc2-69,Tc2-69_1,Tc2-16,Tc2-16_1,Tc3-57,Tc3-57_1,Tc1-19,Tc1-19_1,Tc3-74,Tc3-74_1,Tc2-86,Tc2-86_1,Tc1-30,Tc1-30_1
AUDO01,128.97,128.97,225.11,225.11,225.53,225.53,188.01,184.31,223.59,223.59,162.5,162.5,227.25,227.45,246.894,231.84
AUDO02,124.92,124.92,246.38,238.75,217.16,216.11,178.48,176.42,242.17,230.75,160.67,160.67,224.6,224.6,241,231
AUDO03,129,125,234.64,234.64,225.5,225.5,184.36,184.36,233.29,233.29,162.24,162.24,226.23,226.23,240.98,231.96
AUDO04,129.04,124.93,232.77,232.77,225.42,216.99,191.86,184.26,233.6,233.6,162.69,162.69,232.61,232.61,236.02,234.08
AUDO05,128.92,124.87,232.69,232.69,225.35,225.35,187.99,184.3,233.55,233.55,162.58,162.58,232.51,232.51,236,234.2
AUDO06,124.85,126,252.2,246.28,240.15,240.15,178.22,178.22,239.18,230.52,160.11,160.11,224.66,224.62,241.16,229.94
AUDO07,126.84,124.75,252.17,246.25,215.91,215.91,187.82,184.04,239.26,230.75,160.57,160.57,224.59,224.16,240.97,229.86
AUDO08,126.87,124.81,248.32,244.51,219.04,217.04,184.15,176.45,242.82,230.74,160.56,160.56,226.01,224.2,241.05,229.98
AUDO09,128.93,128.93,234.59,232.71,225.38,225.38,187.99,184.25,242.43,233.46,162.42,162.42,225.56,225.63,240.75,234.03
AUDO10,131.04,129.04,232.67,232.67,225.25,225.25,184.31,184.31,233.44,233.44,162.09,159.68,232.76,226.31,240.78,232.13
AUDO11,126.94,126.94,246.37,246.37,217,217,178.3,176.34,239.15,230.66,160.11,160.11,230.5,224.5,238.25,231.26
AUDO12,129.03,129.03,234.62,234.62,225.26,225.26,184.15,184.15,233.2,227.79,162.46,162.46,232.51,227.37,236.02,231.87
AUDO13,127,124.91,252.09,246.38,215.86,215.86,187.82,176.27,239.72,239.72,160.22,166.81,224.58,224.58,248.12,244.04
AUDO14,124.99,126,246.27,246.27,216.95,215.86,176.15,176.15,238.9,238.9,160,160,226.9,224.44,247.93,241.08
AUDO15,126.99,125.01,252.14,248.26,218.95,216.8,187.8,176.15,239.23,230.61,160.45,160.45,226.58,226.58,241.08,229.91
AUDO16,152.14,128.92,234.4,235.4,225.18,225.18,187.89,184.2,233.48,227.62,162.57,162.57,227.5,226,246.79,240.83
AUDO17,124.99,126,252.16,246.33,216.95,216,187.78,175.99,239.6,230.47,159.89,167.05,230.51,221.46,238.17,229.95
AUDO18,125.26,128.93,234.47,234.47,225.25,217,187.91,187.91,233.37,227.45,162.57,162.57,227.45,227.48,234.16,231.92
AUDO19,128.92,128.92,234.39,234.39,225.14,225.14,186.14,184.2,242.56,227.56,162.52,162.52,226.02,226.02,236.02,234.06
AUDO20,127.01,125.05,252.09,246.24,218.94,216.93,191.91,175.94,239.1,230.56,160,166.75,230.54,226.48,244.05,237.97
AUDO21,127.02,127.02,246.26,246.26,216.95,216.95,183.97,178.25,230.49,230.49,159.89,159.89,224.59,226.48,241.13,231.16
AUDO22,128.9,128.9,234.37,234.37,225.19,225.19,186.09,183.99,233.43,233.43,162.5,162.5,227.33,227.33,240.87,240.74
AUDO23,129.02,129.02,232.64,232.64,225.19,225.19,187.72,187.72,233.42,227.5,162.5,162.5,232.43,226.06,234.13,231.86
AUDO24,147.82,129.12,234.28,232.51,225.01,225.01,184.14,184.14,233.41,233.41,162.58,162.58,226.05,226.14,246.82,231.9
AUDO25,124.91,118.01,251.9,251.9,217.01,215.97,187.8,176.27,239.68,230.19,159.89,166.79,226.71,224.72,244.13,231.22
AUDO26,127.03,124.97,246.28,246.28,219.05,217.05,191.99,175.98,242.59,238.99,160.22,160.22,226.7,226.7,231.31,230.08
AUDO27,129.11,127.02,242.38,234.41,225.18,225.18,187.89,187.89,233.15,227.31,162.68,162.68,226.23,222.74,242.89,234.19
AUDO28,129.01,129.01,234.52,234.52,225.24,225.24,186.21,180.15,233.46,233.46,162.58,162.58,227.5,227.5,240.81,234.21
AUDO29,129.01,118.05,246.3,246.3,225.09,219.72,191.87,187.79,230.49,227.5,162.48,162.48,232.52,225,241.13,231.98
AUDO30,129.07,129.07,240.34,232.65,225.18,225.18,187.8,185.94,233.41,227.49,162.5,162.5,226.18,226.18,234.17,231.91
AUDO31,128.92,128.92,234.52,234.52,225.26,225.26,187.65,178.69,242.53,242.53,162.48,162.48,227.34,227.34,240.78,231.85
AUDO32,129.02,129.02,234.51,232.59,225.25,225.25,186.24,184.91,233.35,233.35,162.57,162.57,226,226,240.63,231.73
PW1,129.06,129.06,232.75,234.3,225.01,225.01,184.17,188.11,227.67,227.67,162.45,162.45,225.85,225.85,240.82,234.16
PW2,128.83,128.83,232.4,232.4,225.5,225.5,184.11,184.11,227.6,233.45,162.45,162.45,227.31,227.17,240.03,232.07
PW3,128.83,128.83,234.38,234.38,225.23,225.23,178.24,191.8,242.62,242.62,162.74,160.77,227.28,227.55,240.78,233.02
PW4,128.93,124.9,238.73,238.73,225.38,217.09,176.24,191.81,227.65,239.84,160.76,160.76,225.57,214.47,232.98,229.94
PW5,118.03,129.11,242.36,232.74,225.33,216.98,176.24,178.27,230.61,242.48,160.22,161.74,226.23,229.78,232.07,230.16
CW1,117.94,117.94,238.52,234.72,216.81,216.81,176.13,174.28,242.64,242.64,160.8,160.8,229.28,227,230.35,230.35
CW2,124.84,117.91,246.4,234.78,240.17,217.99,176.28,176.28,242.55,230.44,160.55,160.55,229.54,226.57,233.23,235.96
CW3,125,118.15,267.85,245.99,216.93,216.93,176.27,176.27,242.61,230.44,160.66,160.66,229.68,226.69,233.04,231.14
CW4,126.86,124.7,246.31,234.75,217.87,217.87,176.2,176.2,242.65,242.65,160.55,160.55,226.64,226.64,239.01,233.04
CW5,117.94,138.53,234.73,234.73,240.01,216.82,176.2,176.2,230.43,230.43,160.58,160.45,229.63,224.52,248.99,233.02
GRAG1,124.8,124.8,234.7,228.77,217.85,217.85,182.15,179.18,230.57,230.57,160.56,160.56,224.67,224.67,240.23,230.08
GRAG2,124.82,124.82,228.81,228.81,217.97,217.97,203.44,192.44,230.63,230.63,160.69,160.69,219,219,230,230
GRAG3,124.9,124.9,250.15,228.57,217.71,217.71,189.66,181.02,230.5,230.5,166.12,160.53,224.62,218.54,254.03,233.96
GRAG4,124.9,124.9,228.6,228.6,218.73,216.74,178.1,178.1,239.26,230.55,165.9,159.58,218.61,218.61,246.1,231.04
